domain,accounting,achieve sales targets,adapt to change,build team spirit,consult with business clients,crowdsourcing strategy,design customer experiences,digital curation,e-procurement,identify customer's needs,innovation processes,interact with users to gather requirements,monitor developments in field of expertise,process payments,provide high quality customer service,sales activities,think analytically
Education,0.0,0.137931,0.206897,0.310345,0.206897,0.413793,0.137931,0.517241,0.206897,0.275862,0.37931,0.10936,0.62069,0.275862,0.241379,0.344828,0.241379
Green Energy,0.307692,0.0,0.192308,0.423077,0.269231,0.5,0.153846,0.423077,0.269231,0.269231,0.192308,0.0,0.5,0.192308,0.307692,0.346154,0.230769
Healthcare,0.0,0.25,0.375,0.458333,0.5,0.0,0.291667,0.625,0.25,0.166667,0.0,0.375,0.833333,0.458333,0.291667,0.291667,0.583333
IT,0.25,0.138889,0.11715,0.222222,0.25,0.228261,0.111111,0.472222,0.0,0.166667,0.222222,0.0,0.583333,0.166667,0.25,0.222222,0.305556
Tourism,0.193408,0.333333,0.291667,0.416667,0.291667,0.208333,0.333333,0.0,0.333333,0.208333,0.333333,0.205224,0.0,0.416667,0.416667,0.526741,0.0
