domain,skill_uri,skill_label,capability_family,demand_count,supply_count,course_count,demand_frequency,supply_frequency,course_frequency,gap_score,trend_score,relevance_index,bubble_size,portfolio_quadrant
IT,http://data.europa.eu/esco/skill/fef5a450-6230-4a34-b3e3-764252dbdcec,devise special promotions,"developing financial, business or marketing plans",3,0,0,0.083333,0.0,0.0,0.083333,0.0,0.158333,80,balanced
IT,http://data.europa.eu/esco/skill/4df7a57a-9405-4995-8e02-4ca404832247,manage project changes,planning events and programmes,3,0,0,0.083333,0.0,0.0,0.083333,0.0,0.158333,80,balanced
IT,http://data.europa.eu/esco/skill/7d9bace0-63d0-4848-ac87-350a98082c12,participate actively in civic life,applying civic skills and competences,3,0,0,0.083333,0.0,0.0,0.083333,0.0,0.158333,80,balanced
IT,http://data.europa.eu/esco/skill/a8d07b5a-c1a1-42c6-9d53-db9c7a2ca996,PostgreSQL,database and network design and administration,3,14,3,0.083333,0.304348,0.2,0.0,0.0,0.1575,116,balanced
IT,http://data.europa.eu/esco/skill/f0393af3-bcd9-41af-a36e-0cfb83b60081,manage standard enterprise resource planning system,"managing, gathering and storing digital data",8,0,0,0.222222,0.0,0.0,0.222222,-0.219048,0.155556,80,balanced
IT,http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68,innovation processes,management and administration,8,0,0,0.222222,0.0,0.0,0.222222,-0.219048,0.155556,80,balanced
IT,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,build team spirit,leading others,8,0,0,0.222222,0.0,0.0,0.222222,-0.219048,0.155556,80,balanced
IT,http://data.europa.eu/esco/skill/8c3ac8d1-5349-45bb-9006-e073ee3b5d16,packaging functions,sociology and cultural studies,3,1,0,0.083333,0.021739,0.0,0.061594,0.0,0.152899,80,balanced
IT,http://data.europa.eu/esco/skill/7369f779-4b71-4aab-8836-48b69c676eec,operate relational database management system,"managing, gathering and storing digital data",3,23,2,0.083333,0.5,0.133333,0.0,0.0,0.150833,104,balanced
IT,http://data.europa.eu/esco/skill/477173ca-5fc2-406b-9122-95d92811f284,communicate with stakeholders,collaborating and liaising,6,0,5,0.166667,0.0,0.333333,0.166667,-0.219048,0.15,140,training ahead of demand
IT,http://data.europa.eu/esco/skill/02e22093-3436-46a8-8dc5-b041bc4800cc,create model,making models,2,2,3,0.055556,0.043478,0.2,0.012077,0.0,0.148019,116,balanced
IT,http://data.europa.eu/esco/skill/1973c966-f236-40c9-b2d4-5d71a89019be,use spreadsheets software,"managing, gathering and storing digital data",2,1,2,0.055556,0.021739,0.133333,0.033816,0.0,0.146787,104,balanced
IT,http://data.europa.eu/esco/skill/fecf8a0d-62c4-4e71-9b03-0f4fc2ad7bf5,data models,database and network design and administration,0,12,7,0.0,0.26087,0.466667,0.0,0.0,0.146667,164,training ahead of demand
IT,http://data.europa.eu/esco/skill/5ef0c719-5bcb-49f8-b8eb-824388225333,use scripting programming,programming computer systems,0,8,7,0.0,0.173913,0.466667,0.0,0.0,0.146667,164,training ahead of demand
IT,http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44,cyber security,military and defence,1,0,4,0.027778,0.0,0.266667,0.027778,0.0,0.146111,128,training ahead of demand
IT,http://data.europa.eu/esco/skill/6f8a40d6-f9ce-43ec-a72f-d4213a53f3ed,Ansible,software and applications development and analysis,2,0,1,0.055556,0.0,0.066667,0.055556,0.0,0.145556,92,balanced
IT,http://data.europa.eu/esco/skill/63f224ea-d889-42ea-b3ef-730ef78c7176,develop new products,designing systems and products,2,0,1,0.055556,0.0,0.066667,0.055556,0.0,0.145556,92,balanced
IT,http://data.europa.eu/esco/skill/1605025e-a179-421f-8f35-5b07d182a6b2,web analytics,database and network design and administration,2,3,3,0.055556,0.065217,0.2,0.0,0.0,0.145,116,balanced
IT,http://data.europa.eu/esco/skill/5d74614d-32c8-4ca4-9818-6980e52424b1,plan software testing,planning production processes,2,1,1,0.055556,0.021739,0.066667,0.033816,0.0,0.140121,92,balanced
IT,http://data.europa.eu/esco/skill/ed8de897-adbe-4f0e-b4d2-534953e64c72,integrate system components,setting up computer systems,2,1,1,0.055556,0.021739,0.066667,0.033816,0.0,0.140121,92,balanced
IT,http://data.europa.eu/esco/skill/1ffac4ac-fda7-407d-8ed1-ca8f4a8dc146,Angular,software and applications development and analysis,2,1,1,0.055556,0.021739,0.066667,0.033816,0.0,0.140121,92,balanced
Tourism,http://data.europa.eu/esco/skill/450de541-797a-4da0-9fe4-a81471c8047d,sales activities,wholesale and retail sales,13,1,0,0.541667,0.014925,0.0,0.526741,-0.253333,0.375435,80,critical shortage
Tourism,http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450,sell tourist packages,selling products or services,5,0,3,0.208333,0.0,0.166667,0.208333,0.13,0.3275,116,balanced
Tourism,http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23,process payments,executing financial transactions,10,0,0,0.416667,0.0,0.0,0.416667,-0.188889,0.297222,80,critical shortage
Tourism,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,build team spirit,leading others,10,0,1,0.416667,0.0,0.055556,0.416667,-0.253333,0.297222,92,critical shortage
Tourism,http://data.europa.eu/esco/skill/a15dab55-f1da-4f85-ae3e-2b5c5b5333ca,provide high quality customer service,selling products or services,10,0,1,0.416667,0.0,0.055556,0.416667,-0.253333,0.297222,92,critical shortage
Tourism,http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,climatology,earth sciences,4,6,1,0.166667,0.089552,0.055556,0.077114,0.193333,0.296501,92,balanced
Tourism,http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6,respond to inquiries in written form,developing professional relationships or networks,4,0,0,0.166667,0.0,0.0,0.166667,0.128889,0.281111,80,balanced
Tourism,http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e,arrange bookings,performing general clerical and administrative tasks,4,0,0,0.166667,0.0,0.0,0.166667,0.128889,0.281111,80,balanced
Tourism,http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939,make reservations,accompanying and welcoming people,5,0,0,0.208333,0.0,0.0,0.208333,0.044444,0.268055,80,balanced
Tourism,http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333,process booking,entering and transforming information,5,0,0,0.208333,0.0,0.0,0.208333,0.044444,0.268055,80,balanced
Tourism,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b,accounting,accounting and taxation,5,1,18,0.208333,0.014925,1.0,0.193408,-0.253333,0.242102,296,training ahead of demand
Tourism,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,solve technical problems,resolving computer problems,7,0,0,0.291667,0.0,0.0,0.291667,-0.124444,0.241945,80,critical shortage
Tourism,http://data.europa.eu/esco/skill/7bb5d9af-0a7e-48a7-a860-0e1ded0f6e75,design customer experiences,"creating artistic, visual or instructive materials",8,0,0,0.333333,0.0,0.0,0.333333,-0.253333,0.233333,80,critical shortage
Tourism,http://data.europa.eu/esco/skill/378caeec-10a0-4162-b75c-ab374a42e93d,e-procurement,wholesale and retail sales,8,0,0,0.333333,0.0,0.0,0.333333,-0.253333,0.233333,80,critical shortage
Tourism,http://data.europa.eu/esco/skill/c09bf6d4-f8a7-40f3-aead-ef01643f2352,achieve sales targets,selling products or services,8,0,0,0.333333,0.0,0.0,0.333333,-0.253333,0.233333,80,critical shortage
Tourism,http://data.europa.eu/esco/skill/2fb8480e-de3c-462b-b169-e8bbb344da68,innovation processes,management and administration,8,0,0,0.333333,0.0,0.0,0.333333,-0.253333,0.233333,80,critical shortage
Tourism,http://data.europa.eu/esco/skill/beeaddc7-fe69-4b97-a286-0bd595432eb9,serve beverages,serving food and drinks,1,0,18,0.041667,0.0,1.0,0.041667,0.0,0.229167,296,training ahead of demand
Tourism,http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d,consult with business clients,collaborating and liaising,7,0,2,0.291667,0.0,0.111111,0.291667,-0.253333,0.215278,104,critical shortage
Tourism,http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4,adapt to change,demonstrating willingness to learn,7,0,1,0.291667,0.0,0.055556,0.291667,-0.253333,0.209722,92,critical shortage
Tourism,http://data.europa.eu/esco/skill/81d5b408-e805-4788-8dbd-42f22e8fd199,prepare mixed beverages,preparing food and drinks,1,0,13,0.041667,0.0,0.722222,0.041667,0.0,0.201389,236,training ahead of demand
Tourism,http://data.europa.eu/esco/skill/c6c1af60-9594-460c-a328-00f9ad292be0,coaching techniques,inter-disciplinary programmes and qualifications involving education,7,2,0,0.291667,0.029851,0.0,0.261816,-0.253333,0.196704,80,critical shortage
Tourism,http://data.europa.eu/esco/skill/e782f412-4cb5-45f1-b5bc-15be441171aa,manage guest support services,monitoring operational activities,1,0,12,0.041667,0.0,0.666667,0.041667,0.0,0.195833,224,training ahead of demand
Tourism,http://data.europa.eu/esco/skill/80ec44cc-372a-4dc6-ab36-7ffdbf3bfc4e,prepare garnish for drinks,preparing food and drinks,1,0,12,0.041667,0.0,0.666667,0.041667,0.0,0.195833,224,training ahead of demand
Tourism,http://data.europa.eu/esco/skill/b9f16465-56a9-426b-a047-0f9f1f95ec92,address problems critically,developing solutions,2,0,6,0.083333,0.0,0.333333,0.083333,0.0,0.191667,152,training ahead of demand
Tourism,http://data.europa.eu/esco/skill/35f1dcdc-577f-46c6-96d9-6c7a64501de9,laboratory equipment,chemistry,6,2,4,0.25,0.029851,0.222222,0.220149,-0.253333,0.18976,128,critical shortage
Tourism,http://data.europa.eu/esco/skill/3761780c-a40f-409e-9320-4de0ec25472a,food materials,food processing,0,0,16,0.0,0.0,0.888889,0.0,0.0,0.188889,272,training ahead of demand
Tourism,http://data.europa.eu/esco/skill/899286f4-327f-4e16-aa02-5256a9c7f678,participate in tourism events,"promoting products, services, or programs",2,1,5,0.083333,0.014925,0.277778,0.068408,0.0,0.18238,140,training ahead of demand
Tourism,http://data.europa.eu/esco/skill/0450eaee-1a00-4622-8f4e-5356fce816d2,hygiene in a health care setting,occupational health and safety,2,0,4,0.083333,0.0,0.222222,0.083333,0.0,0.180556,128,balanced
Tourism,http://data.europa.eu/esco/skill/c5bc42be-4970-4dce-80e2-af78bae42e84,manage maintenance operations,directing operational activities,2,0,4,0.083333,0.0,0.222222,0.083333,0.0,0.180556,128,balanced
Tourism,http://data.europa.eu/esco/skill/29a50780-f81b-429c-b410-7f23a492e19d,sell products,selling products or services,6,0,0,0.25,0.0,0.0,0.25,-0.253333,0.175,80,critical shortage
Tourism,http://data.europa.eu/esco/skill/df5e3d02-9f0f-44ee-91c2-85c62f161868,"promote ideas, products, services ",communicating,6,0,0,0.25,0.0,0.0,0.25,-0.253333,0.175,80,critical shortage
Tourism,http://data.europa.eu/esco/skill/677d5144-4c77-4f8d-afc7-116f4bc0e660,own management skills,management skills,6,0,0,0.25,0.0,0.0,0.25,-0.253333,0.175,80,critical shortage
Tourism,http://data.europa.eu/esco/skill/e4fb4f26-1c0c-45e4-9250-5be32cee2a48,prepare hot drinks,preparing food and drinks,0,0,13,0.0,0.0,0.722222,0.0,0.0,0.172222,236,training ahead of demand
Tourism,http://data.europa.eu/esco/skill/80e7418e-7434-456c-85e1-e8aef626a8c0,coordinate catering,directing operational activities,4,0,10,0.166667,0.0,0.555556,0.166667,-0.253333,0.172222,200,training ahead of demand
Tourism,http://data.europa.eu/esco/skill/3012a059-e062-4171-b37e-f9e7c7eb603e,perform lectures,presenting research or technical information,2,0,2,0.083333,0.0,0.111111,0.083333,0.0,0.169444,104,balanced
Tourism,http://data.europa.eu/esco/skill/aea9e7b9-53a3-4f03-9d9c-4ef6c383403a,arrange special events,planning events and programmes,2,0,2,0.083333,0.0,0.111111,0.083333,0.0,0.169444,104,balanced
Tourism,http://data.europa.eu/esco/skill/4cde32b5-fc2f-4257-a8b9-5b15a67ee3e5,protect the health of others,applying health-related skills and competences,1,0,7,0.041667,0.0,0.388889,0.041667,0.0,0.168056,164,training ahead of demand
Tourism,http://data.europa.eu/esco/skill/c55caed2-de9e-4a25-819e-a0b0e83fba1b,give live presentation,presenting general information,2,1,2,0.083333,0.014925,0.111111,0.068408,0.0,0.165713,104,balanced
Tourism,http://data.europa.eu/esco/skill/47d491a9-f7c0-4b13-a10f-983d3aa0113e,safety engineering,engineering and engineering trades not further defined,2,0,1,0.083333,0.0,0.055556,0.083333,0.0,0.163889,92,balanced
Tourism,http://data.europa.eu/esco/skill/4377dd26-a0d6-497c-9ffe-f59308d36648,arrange student accommodation,performing general clerical and administrative tasks,2,0,1,0.083333,0.0,0.055556,0.083333,0.0,0.163889,92,balanced
Tourism,http://data.europa.eu/esco/skill/47ac9325-b072-4e37-8e40-e6ffed03e851,supervision of persons,management and administration,2,0,1,0.083333,0.0,0.055556,0.083333,0.0,0.163889,92,balanced
Tourism,http://data.europa.eu/esco/skill/7546bf61-91c0-4715-8024-9ee276563cc4,ensure safety in hospitality establishment,complying with health and safety procedures,2,0,1,0.083333,0.0,0.055556,0.083333,0.0,0.163889,92,balanced
Tourism,http://data.europa.eu/esco/skill/78d90f00-5226-44fc-95c2-0d8dac6b081b,technology education,teacher training with subject specialisation,2,0,1,0.083333,0.0,0.055556,0.083333,0.0,0.163889,92,balanced
Tourism,http://data.europa.eu/esco/skill/f8e5f1fd-82ee-45c0-b179-399d8e9a22aa,deal with challenging people,maintaining and enforcing physical security,2,0,1,0.083333,0.0,0.055556,0.083333,0.0,0.163889,92,balanced
Tourism,http://data.europa.eu/esco/skill/13d96098-2ff0-46b8-b326-b7c0e18cc1f1,nutrition,therapy and rehabilitation,2,0,1,0.083333,0.0,0.055556,0.083333,0.0,0.163889,92,balanced
Tourism,http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363,interact with users to gather requirements,engaging with others to identify needs,6,3,0,0.25,0.044776,0.0,0.205224,-0.253333,0.163806,80,critical shortage
Tourism,http://data.europa.eu/esco/skill/d83cba15-8511-4d07-b89a-9fde0d1d8241,perform quality audits,management skills,1,0,6,0.041667,0.0,0.333333,0.041667,0.0,0.1625,152,training ahead of demand
Tourism,http://data.europa.eu/esco/skill/de2f0ce8-f8d6-48c5-a213-4d065251cecf,communicate by telephone,liaising and networking,2,2,2,0.083333,0.029851,0.111111,0.053483,0.0,0.161982,104,balanced
Tourism,http://data.europa.eu/esco/skill/9b31016e-c99d-4bd2-a550-d5660dac5041,clean kitchen equipment,"cleaning tools, equipment, workpieces and vehicles",0,0,11,0.0,0.0,0.611111,0.0,0.0,0.161111,212,training ahead of demand
Tourism,http://data.europa.eu/esco/skill/499ca9ec-801f-48b9-9f33-a4c16eabd835,prepare salad dressings,preparing food and drinks,0,0,11,0.0,0.0,0.611111,0.0,0.0,0.161111,212,training ahead of demand
Healthcare,http://data.europa.eu/esco/skill/23ac233d-84ad-4517-b0f5-8ca19ba2614e,monitor developments in field of expertise,monitoring developments in area of expertise,20,0,0,0.833333,0.0,0.0,0.833333,-0.228772,0.583333,80,critical shortage
Healthcare,http://data.europa.eu/esco/skill/8f6ed69b-29d0-4c01-81ba-f05920a185f3,digital curation,"library, information and archival studies",15,0,0,0.625,0.0,0.0,0.625,-0.219048,0.4375,80,critical shortage
Healthcare,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,think analytically,"processing information, ideas and concepts",14,0,0,0.583333,0.0,0.0,0.583333,-0.219048,0.408333,80,critical shortage
Healthcare,http://data.europa.eu/esco/skill/9531fe02-1e1f-4a36-95f7-a76a77cd4b8d,consult with business clients,collaborating and liaising,12,0,4,0.5,0.0,0.210526,0.5,-0.153651,0.394227,128,critical shortage
Healthcare,http://data.europa.eu/esco/skill/bdcac0c8-b77a-4640-9eaf-c0cf3efd1e23,process payments,executing financial transactions,11,0,0,0.458333,0.0,0.0,0.458333,-0.166259,0.337704,80,critical shortage
Healthcare,http://data.europa.eu/esco/skill/b19e0820-a96f-4c0a-a724-3c056180c1b3,build team spirit,leading others,11,0,0,0.458333,0.0,0.0,0.458333,-0.219048,0.320833,80,critical shortage
Healthcare,http://data.europa.eu/esco/skill/4b406514-b3ed-4906-a347-7ebe6be52450,sell tourist packages,selling products or services,4,0,1,0.166667,0.0,0.052632,0.166667,0.184762,0.314311,92,balanced
Healthcare,http://data.europa.eu/esco/skill/cfccea88-0558-40d4-b896-56a1e7993e24,climatology,earth sciences,4,1,0,0.166667,0.030303,0.0,0.136364,0.184762,0.301472,80,balanced
Healthcare,http://data.europa.eu/esco/skill/18d39e12-b7f5-4426-8b84-afd3d43af20e,arrange bookings,performing general clerical and administrative tasks,4,0,0,0.166667,0.0,0.0,0.166667,0.123175,0.278254,80,balanced
Healthcare,http://data.europa.eu/esco/skill/0fe57279-53a8-478f-bcf9-dfe8172f0fb6,respond to inquiries in written form,developing professional relationships or networks,4,0,0,0.166667,0.0,0.0,0.166667,0.123175,0.278254,80,balanced
Healthcare,http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333,process booking,entering and transforming information,5,0,0,0.208333,0.0,0.0,0.208333,0.050159,0.270913,80,balanced
Healthcare,http://data.europa.eu/esco/skill/fdc21239-053c-4b52-9bef-2bc2771a4939,make reservations,accompanying and welcoming people,5,0,0,0.208333,0.0,0.0,0.208333,0.050159,0.270913,80,balanced
Healthcare,http://data.europa.eu/esco/skill/c6c1af60-9594-460c-a328-00f9ad292be0,coaching techniques,inter-disciplinary programmes and qualifications involving education,6,0,0,0.25,0.0,0.0,0.25,-0.022857,0.263572,80,critical shortage
Healthcare,http://data.europa.eu/esco/skill/f7e7ccb6-fadc-4c35-935d-e1040be40dfe,handle financial transactions,executing financial transactions,6,0,0,0.25,0.0,0.0,0.25,-0.022857,0.263572,80,critical shortage
Healthcare,http://data.europa.eu/esco/skill/fef5a450-6230-4a34-b3e3-764252dbdcec,devise special promotions,"developing financial, business or marketing plans",6,0,0,0.25,0.0,0.0,0.25,-0.022857,0.263572,80,critical shortage
Healthcare,http://data.europa.eu/esco/skill/49de9958-2aa4-4eef-a89d-fe5d5bcd28c4,adapt to change,demonstrating willingness to learn,9,0,0,0.375,0.0,0.0,0.375,-0.242143,0.2625,80,critical shortage
Healthcare,http://data.europa.eu/esco/skill/a8797f21-1af0-4c5e-98ca-bf1442929363,interact with users to gather requirements,engaging with others to identify needs,9,0,0,0.375,0.0,0.0,0.375,-0.219048,0.2625,80,critical shortage
Healthcare,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,solve technical problems,resolving computer problems,7,0,0,0.291667,0.0,0.0,0.291667,-0.095873,0.25623,80,critical shortage
Healthcare,http://data.europa.eu/esco/skill/08e2ff26-88ff-47b5-9d37-d19ace01b075,manage feedback,following instructions and procedures,6,2,0,0.25,0.060606,0.0,0.189394,-0.022857,0.24842,80,critical shortage
Healthcare,http://data.europa.eu/esco/skill/c4180af3-befd-4bd8-9a65-6a496f9d9f15,demonstrate awareness of health risks ,applying health-related skills and competences,1,0,19,0.041667,0.0,1.0,0.041667,0.0,0.229167,308,training ahead of demand
Healthcare,http://data.europa.eu/esco/skill/c5bc42be-4970-4dce-80e2-af78bae42e84,manage maintenance operations,directing operational activities,6,0,9,0.25,0.0,0.473684,0.25,-0.219048,0.222368,188,critical shortage
Healthcare,http://data.europa.eu/esco/skill/db9050db-ae5d-4be8-8114-c26f272c3bda,manage health and safety,complying with health and safety procedures,5,0,14,0.208333,0.0,0.736842,0.208333,-0.219048,0.219518,248,training ahead of demand
