domain,entity,records,duplicate_source_source_id
IT,jobs,200,0
IT,profiles,200,0
IT,courses,200,0
Tourism,jobs,200,0
Tourism,profiles,200,0
Tourism,courses,200,0
Healthcare,jobs,200,0
Healthcare,profiles,200,0
Healthcare,courses,200,0
Green Energy,jobs,200,0
Green Energy,profiles,200,0
Green Energy,courses,200,0
Education,jobs,200,0
Education,profiles,200,0
Education,courses,200,0
