domain,Python (computer programming),SQL,accounting,arrange bookings,build team spirit,climatology,consult with business clients,crowdsourcing strategy,database,deliver visual presentation of data,digital curation,laboratory equipment,make reservations,manage maintenance operations,monitor developments in field of expertise,process booking,process payments,promote health and safety,protect the health of others,provide high quality customer service,respond to inquiries in written form,sales activities,sell tourist packages,solve technical problems,think analytically
Education,0.231034,0.169363,0.0,0.296552,0.217241,0.275123,0.0,0.289655,0.176923,0.0,0.362069,0.0,0.296552,0.0,0.434483,0.315134,0.246437,0.0,0.0,0.168966,0.296552,0.241379,0.296552,0.28705,0.176658
Green Energy,0.177308,0.0,0.215385,0.0,0.296154,0.0,0.198462,0.35,0.0,0.0,0.296154,0.234615,0.0,0.243846,0.35,0.0,0.0,0.224615,0.216923,0.215385,0.0,0.252308,0.0,0.0,0.161538
Healthcare,0.0,0.0,0.0,0.278254,0.320833,0.301472,0.394227,0.0,0.0,0.0,0.4375,0.0,0.270913,0.222368,0.583333,0.270913,0.337704,0.0,0.0,0.20943,0.278254,0.204167,0.314311,0.25623,0.408333
IT,0.171786,0.171667,0.175,0.0,0.155556,0.0,0.175,0.169565,0.1925,0.18,0.330556,0.0,0.0,0.0,0.408333,0.0,0.0,0.0,0.0,0.175,0.0,0.162222,0.0,0.0,0.220556
Tourism,0.0,0.0,0.242102,0.281111,0.297222,0.296501,0.215278,0.0,0.0,0.0,0.0,0.18976,0.268055,0.180556,0.0,0.268055,0.297222,0.0,0.168056,0.297222,0.281111,0.375435,0.3275,0.241945,0.0
